model,setup,run_type,experiment,scope,value
gpt-4.1,A,det,E1,avg,2.6667
gpt-4.1,A,det,E1,P1,3.5556
gpt-4.1,A,det,E1,P2,1.7778
gpt-4.1,A,det,E2,avg,2.3333
gpt-4.1,A,det,E2,P1,3.6667
gpt-4.1,A,det,E2,P2,1.0
gpt-4.1,A,det,E3_M,avg,2.8333
gpt-4.1,A,det,E3_M,P1,2.6667
gpt-4.1,A,det,E3_M,P2,3.0
gpt-4.1,A,det,E3_T,avg,3.5
gpt-4.1,A,det,E3_T,P1,3.3333
gpt-4.1,A,det,E3_T,P2,3.6667
gpt-4.1,A,rob,E1,avg,2.7778
gpt-4.1,A,rob,E1,P1,3.5556
gpt-4.1,A,rob,E1,P2,2.0
gpt-4.1,A,rob,E2,avg,2.3333
gpt-4.1,A,rob,E2,P1,3.5
gpt-4.1,A,rob,E2,P2,1.1667
gpt-4.1,A,rob,E3_M,avg,3.0
gpt-4.1,A,rob,E3_M,P1,2.7778
gpt-4.1,A,rob,E3_M,P2,3.2222
gpt-4.1,A,rob,E3_T,avg,3.8333
gpt-4.1,A,rob,E3_T,P1,3.6667
gpt-4.1,A,rob,E3_T,P2,4.0
gpt-4.1,B-query,det,E1,avg,2.6667
gpt-4.1,B-query,det,E1,P1,3.5556
gpt-4.1,B-query,det,E1,P2,1.7778
gpt-4.1,B-query,det,E2,avg,1.75
gpt-4.1,B-query,det,E2,P1,2.3333
gpt-4.1,B-query,det,E2,P2,1.1667
gpt-4.1,B-query,det,E3_M,avg,1.6667
gpt-4.1,B-query,det,E3_M,P1,1.0
gpt-4.1,B-query,det,E3_M,P2,2.3333
gpt-4.1,B-query,det,E3_T,avg,2.3333
gpt-4.1,B-query,det,E3_T,P1,1.3333
gpt-4.1,B-query,det,E3_T,P2,3.3333
gpt-4.1,B-query,rob,E1,avg,2.7963
gpt-4.1,B-query,rob,E1,P1,3.4815
gpt-4.1,B-query,rob,E1,P2,2.1111
gpt-4.1,B-query,rob,E2,avg,2.3333
gpt-4.1,B-query,rob,E2,P1,3.2778
gpt-4.1,B-query,rob,E2,P2,1.3889
gpt-4.1,B-query,rob,E3_M,avg,1.8889
gpt-4.1,B-query,rob,E3_M,P1,1.0
gpt-4.1,B-query,rob,E3_M,P2,2.7778
gpt-4.1,B-query,rob,E3_T,avg,2.6667
gpt-4.1,B-query,rob,E3_T,P1,1.5556
gpt-4.1,B-query,rob,E3_T,P2,3.7778
gpt-4.1,B-resolved,det,E1,avg,2.6667
gpt-4.1,B-resolved,det,E1,P1,3.0
gpt-4.1,B-resolved,det,E1,P2,2.3333
gpt-4.1,B-resolved,det,E2,avg,2.1667
gpt-4.1,B-resolved,det,E2,P1,2.8333
gpt-4.1,B-resolved,det,E2,P2,1.5
gpt-4.1,B-resolved,det,E3_M,avg,3.0
gpt-4.1,B-resolved,det,E3_M,P1,2.6667
gpt-4.1,B-resolved,det,E3_M,P2,3.3333
gpt-4.1,B-resolved,det,E3_T,avg,3.3333
gpt-4.1,B-resolved,det,E3_T,P1,2.6667
gpt-4.1,B-resolved,det,E3_T,P2,4.0
gpt-4.1,B-resolved,rob,E1,avg,2.7037
gpt-4.1,B-resolved,rob,E1,P1,3.4815
gpt-4.1,B-resolved,rob,E1,P2,1.9259
gpt-4.1,B-resolved,rob,E2,avg,2.4167
gpt-4.1,B-resolved,rob,E2,P1,3.1667
gpt-4.1,B-resolved,rob,E2,P2,1.6667
gpt-4.1,B-resolved,rob,E3_M,avg,2.7222
gpt-4.1,B-resolved,rob,E3_M,P1,2.3333
gpt-4.1,B-resolved,rob,E3_M,P2,3.1111
gpt-4.1,B-resolved,rob,E3_T,avg,3.3889
gpt-4.1,B-resolved,rob,E3_T,P1,2.7778
gpt-4.1,B-resolved,rob,E3_T,P2,4.0
gpt-4.1,C,det,E1,avg,3.3333
